relative_path,class_label,crop,disease,file_hash,width,height,source,is_duplicate
external/plantvillage/Apple___Apple_scab/00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,Apple___Apple_scab,Apple,Apple_scab,841d0bf56e5ab96bb96b0953c49eb31a,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,Apple___Apple_scab,Apple,Apple_scab,b864c04c6195b89d7d7555311dbc3ca4,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,Apple___Apple_scab,Apple,Apple_scab,2265a73c77faf5468e8b90e6dd67897c,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,Apple___Apple_scab,Apple,Apple_scab,aadb92fad55b3241b30b15d718c95775,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,Apple___Apple_scab,Apple,Apple_scab,d3c6c92c783dcd4398d82979b018d93d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,Apple___Apple_scab,Apple,Apple_scab,b1e96401d1d1386a45e461b631d737c4,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,Apple___Apple_scab,Apple,Apple_scab,756bc832683d4349f214c2a7071e47b8,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,Apple___Apple_scab,Apple,Apple_scab,8768fa3f7b1d48e110f315f8308a2c18,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,Apple___Apple_scab,Apple,Apple_scab,5f5fdeca824eabe2ce8506699a644f66,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,Apple___Apple_scab,Apple,Apple_scab,ffe18f9ceb151607bb6a89484ac7005f,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,Apple___Apple_scab,Apple,Apple_scab,715f02cf022c8d2838ff1a49a4684e34,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,Apple___Apple_scab,Apple,Apple_scab,46073b81e4dbe9800e0ff7335d7ee84b,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,Apple___Apple_scab,Apple,Apple_scab,832064a2425894a6cc76ec682fe99dc9,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,Apple___Apple_scab,Apple,Apple_scab,558e968cb287ab622ae2414c938d2775,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,Apple___Apple_scab,Apple,Apple_scab,3dcebc83edc7eea310cf6c92dda62979,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,Apple___Apple_scab,Apple,Apple_scab,0c575fac4ce98e52e14912507f587d24,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,Apple___Apple_scab,Apple,Apple_scab,5dda386bf4237f57484bc2ece00b87ab,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,Apple___Apple_scab,Apple,Apple_scab,90c4e8a9f2f46fdc0b29382f4575191d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,Apple___Apple_scab,Apple,Apple_scab,af102e6b8eb94b3e04aae1fae887dceb,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG,Apple___Apple_scab,Apple,Apple_scab,80a63ae1d2754686a163fe96a4bd0cc8,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,Apple___Apple_scab,Apple,Apple_scab,9c9d84281579006f7afca8ba5c01224a,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,Apple___Apple_scab,Apple,Apple_scab,02636cb2c08296b23cdcb288fd1973a4,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,Apple___Apple_scab,Apple,Apple_scab,538046759148d2268aa4533c67b8fdc7,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,Apple___Apple_scab,Apple,Apple_scab,e4bcba648b57df656b723c1ba1c3709f,256,256,PlantVillage,False
