relative_path,class_label,crop,disease,file_hash,width,height,source,is_duplicate
external/plantvillage/Apple___Apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,Apple___Apple_scab,Apple,Apple_scab,2265a73c77faf5468e8b90e6dd67897c,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,Apple___Apple_scab,Apple,Apple_scab,aadb92fad55b3241b30b15d718c95775,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,Apple___Apple_scab,Apple,Apple_scab,d3c6c92c783dcd4398d82979b018d93d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,Apple___Apple_scab,Apple,Apple_scab,b1e96401d1d1386a45e461b631d737c4,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,Apple___Apple_scab,Apple,Apple_scab,8768fa3f7b1d48e110f315f8308a2c18,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,Apple___Apple_scab,Apple,Apple_scab,5f5fdeca824eabe2ce8506699a644f66,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,Apple___Apple_scab,Apple,Apple_scab,715f02cf022c8d2838ff1a49a4684e34,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,Apple___Apple_scab,Apple,Apple_scab,832064a2425894a6cc76ec682fe99dc9,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,Apple___Apple_scab,Apple,Apple_scab,558e968cb287ab622ae2414c938d2775,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,Apple___Apple_scab,Apple,Apple_scab,3dcebc83edc7eea310cf6c92dda62979,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,Apple___Apple_scab,Apple,Apple_scab,0c575fac4ce98e52e14912507f587d24,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,Apple___Apple_scab,Apple,Apple_scab,5dda386bf4237f57484bc2ece00b87ab,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,Apple___Apple_scab,Apple,Apple_scab,90c4e8a9f2f46fdc0b29382f4575191d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,Apple___Apple_scab,Apple,Apple_scab,af102e6b8eb94b3e04aae1fae887dceb,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG,Apple___Apple_scab,Apple,Apple_scab,80a63ae1d2754686a163fe96a4bd0cc8,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,Apple___Apple_scab,Apple,Apple_scab,9c9d84281579006f7afca8ba5c01224a,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,Apple___Apple_scab,Apple,Apple_scab,02636cb2c08296b23cdcb288fd1973a4,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,Apple___Apple_scab,Apple,Apple_scab,538046759148d2268aa4533c67b8fdc7,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,Apple___Apple_scab,Apple,Apple_scab,e4bcba648b57df656b723c1ba1c3709f,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG,Apple___Apple_scab,Apple,Apple_scab,589432a4c7a74ccfd0f7a81aec20029f,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,Apple___Apple_scab,Apple,Apple_scab,70387ac9760f2895ed56709fe44b9b70,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG,Apple___Apple_scab,Apple,Apple_scab,6eeb70cc74b4994c36f103825b0f399e,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,Apple___Apple_scab,Apple,Apple_scab,6756e28b6dfdc41091cebca6a4338e9e,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG,Apple___Apple_scab,Apple,Apple_scab,aafe0f0479f6a41c2558d10e88f87f9c,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG,Apple___Apple_scab,Apple,Apple_scab,532704a675494acb6250d4fcb009884a,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG,Apple___Apple_scab,Apple,Apple_scab,4cd9b38de5da75fec57a0fdbc21f29ee,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG,Apple___Apple_scab,Apple,Apple_scab,a15381d7b3fb221d75d4b346887ce1a6,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.JPG,Apple___Apple_scab,Apple,Apple_scab,b1f801ce68e121004cdb9e066cbddccb,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.JPG,Apple___Apple_scab,Apple,Apple_scab,658a950b8144bd166a77d2400e21f610,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG,Apple___Apple_scab,Apple,Apple_scab,b7c14bc7398a56151a2a721ff82fdca3,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/12bc3d5c-2409-426e-b6cb-a08cbf488153___FREC_Scab 3154.JPG,Apple___Apple_scab,Apple,Apple_scab,fd1f4e152d67bb17b767f1d3a1c43683,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG,Apple___Apple_scab,Apple,Apple_scab,c92d49f9c971444ea64efb65fd88dcfd,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,Apple___Apple_scab,Apple,Apple_scab,2afc28958acf04a0cb885b70d9fa4cad,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/154842bb-6ee3-4176-9007-cf7a43cfe140___FREC_Scab 3434.JPG,Apple___Apple_scab,Apple,Apple_scab,c6a907963868284828cc1c5067e80b51,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,Apple___Apple_scab,Apple,Apple_scab,0d435869285c015f23b4e25def35f34e,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/162d8ca4-7cd3-46f1-904f-09721df3e498___FREC_Scab 3336.JPG,Apple___Apple_scab,Apple,Apple_scab,c84a238c83a5a02ad12fb7f54e29f23d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1637ad84-640c-41e7-9be7-6d8e7769b875___FREC_Scab 3110.JPG,Apple___Apple_scab,Apple,Apple_scab,e316b652c5c84eab788fec71ff0bf6e5,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG,Apple___Apple_scab,Apple,Apple_scab,21fee016b24463d00a7f8e8889452f54,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/18e95262-fb0a-472c-93ab-e03138a360dc___FREC_Scab 3366.JPG,Apple___Apple_scab,Apple,Apple_scab,4fff9cf2898a3b7d7b6a1600ed80309a,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127.JPG,Apple___Apple_scab,Apple,Apple_scab,9f2db176fbd0e82c1758dea480ce65f4,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG,Apple___Apple_scab,Apple,Apple_scab,8961696f2fa86e76b023ee1a4c923f8d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG,Apple___Apple_scab,Apple,Apple_scab,0a14b2a967ae897153d5f9d9c12ef42c,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG,Apple___Apple_scab,Apple,Apple_scab,3fa093d034aed19d18d187b08bc5daea,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG,Apple___Apple_scab,Apple,Apple_scab,eae82b79cb96615c3aa66855d197f6e2,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG,Apple___Apple_scab,Apple,Apple_scab,6eba7a3758bb72262a19721c43772006,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG,Apple___Apple_scab,Apple,Apple_scab,65dc443e90af3618524a8900c16abd6d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG,Apple___Apple_scab,Apple,Apple_scab,c2ce32db009a06c7e22cb73551810ad7,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1ceeeee0-40bd-4ac9-8a57-59385bf5df8a___FREC_Scab 3001.JPG,Apple___Apple_scab,Apple,Apple_scab,216ce8c5635106cebbd2748d0457c3a4,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1d81b4c1-072d-4cf7-b1ca-ce43f59822d8___FREC_Scab 3406.JPG,Apple___Apple_scab,Apple,Apple_scab,41e623e57151f912bce80de400ce9be5,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG,Apple___Apple_scab,Apple,Apple_scab,b0a4163f3c121287fb98ca71e66ba63a,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/1f97d75c-db85-4344-8687-82ca56454d17___FREC_Scab 3408.JPG,Apple___Apple_scab,Apple,Apple_scab,f3737036faa9ce18db67b2f785aca308,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/201d8b27-5a38-43e5-8065-f7fe039ad781___FREC_Scab 3058.JPG,Apple___Apple_scab,Apple,Apple_scab,a43846258960d500cd5881f1dc500a79,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/20f4f8d1-7527-420b-a90d-e17b9e45549a___FREC_Scab 2997.JPG,Apple___Apple_scab,Apple,Apple_scab,3ebedcdec87ee60d4b7d83b5da476d3c,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/222a9802-f14c-433e-9d18-d0668ed3c279___FREC_Scab 3239.JPG,Apple___Apple_scab,Apple,Apple_scab,c102f94ad127058d0ed2323c7cdbf9f2,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/22c12d6a-3c17-45be-b53b-f17f1b3f5168___FREC_Scab 3206.JPG,Apple___Apple_scab,Apple,Apple_scab,f29c849eedee98c53ac0e8c14ca484e6,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/23466313-6a2c-46e7-ad89-1f95dd2d3b40___FREC_Scab 3517.JPG,Apple___Apple_scab,Apple,Apple_scab,3c7e12b8301da01a1f42cb3bba7eb59d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/246c33b0-fac8-4cca-ae8b-17947338b8b2___FREC_Scab 3091.JPG,Apple___Apple_scab,Apple,Apple_scab,da85a4f30ddead25c84bc0a19916fe48,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/252087d7-57c9-4ebe-b6c4-840d6c5dfcb1___FREC_Scab 3329.JPG,Apple___Apple_scab,Apple,Apple_scab,baac78789777ce797bb63924e80a7852,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/258ce9eb-2b67-475b-b09c-0bc83b0987f1___FREC_Scab 3033.JPG,Apple___Apple_scab,Apple,Apple_scab,ad32b5c3cc9e4243a26e663598886aae,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/25aeb397-bc36-4fe5-affe-6b8195d4f282___FREC_Scab 3494.JPG,Apple___Apple_scab,Apple,Apple_scab,5d5953c574d83adec419d4bf6b83d589,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/268a2ad1-d649-4ec0-add3-61cc8f54f479___FREC_Scab 3235.JPG,Apple___Apple_scab,Apple,Apple_scab,56eebe58b061df412d258b97ae7a94d3,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/270dd6be-95f4-4fd1-8423-b698663b3f72___FREC_Scab 2954.JPG,Apple___Apple_scab,Apple,Apple_scab,45b1a29747cc76fa40ee2b72961d0e2c,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/276ed34e-9987-4b38-b83b-8626504fc204___FREC_Scab 3050.JPG,Apple___Apple_scab,Apple,Apple_scab,546682b1f71d4329027857e35f947d86,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG,Apple___Apple_scab,Apple,Apple_scab,ba3eff8e011573f790d66e82b62fefda,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG,Apple___Apple_scab,Apple,Apple_scab,540e5aa323545092216d57bc9773c23b,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326.JPG,Apple___Apple_scab,Apple,Apple_scab,5d62fd10ebabf3fa78686b571ab8d144,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2bfd8ee0-af6b-42fd-ae61-fc5e92ec1b67___FREC_Scab 2988.JPG,Apple___Apple_scab,Apple,Apple_scab,936883082ff5fdea9dd30fadf053c006,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260.JPG,Apple___Apple_scab,Apple,Apple_scab,4d7bf69caa19e64eee418fcc4b74a584,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2d4c8a12-a34c-4c8b-b357-271d87532ece___FREC_Scab 3090.JPG,Apple___Apple_scab,Apple,Apple_scab,12201d89a4efc979e8d5b4fb1b1a985f,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2d5265d2-be99-4e9f-a085-d309cc01b751___FREC_Scab 3023.JPG,Apple___Apple_scab,Apple,Apple_scab,023fab64445060ebc10c97e830cd66da,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG,Apple___Apple_scab,Apple,Apple_scab,6c2e0599349fab8212b57d48b2fba857,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG,Apple___Apple_scab,Apple,Apple_scab,de441f1ceaab39038f1fab8e22eb2b63,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/2f668a95-80ab-40ac-98ef-657bd85b668b___FREC_Scab 3247.JPG,Apple___Apple_scab,Apple,Apple_scab,0a9f9c8ca374db5010d1cbbe52af5520,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/30111fee-0c22-4ca4-aeb4-ac14a9a5d651___FREC_Scab 3097.JPG,Apple___Apple_scab,Apple,Apple_scab,8e59d4603f0a48dc1a78f110c31e8aa8,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/321c7135-853f-444d-9952-a893e660d966___FREC_Scab 2958.JPG,Apple___Apple_scab,Apple,Apple_scab,836dc8b37a3896be8931ef0fafbdcc3d,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/32550bbb-cdf1-4805-8167-27dc5a8e87d2___FREC_Scab 3195.JPG,Apple___Apple_scab,Apple,Apple_scab,afcee4d141de53e90245b8111f162321,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/334f8e1a-5989-476e-88f4-8a45c304e12c___FREC_Scab 3035.JPG,Apple___Apple_scab,Apple,Apple_scab,fb1d7238cb90e77d59d757a29808b4e6,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/34c2823b-d1c5-4bd8-a5a7-74bdef959e10___FREC_Scab 3484.JPG,Apple___Apple_scab,Apple,Apple_scab,129af401a946c9089d4b743ee488a40f,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/34c37353-8429-499e-bd38-ac7501f79e90___FREC_Scab 3501.JPG,Apple___Apple_scab,Apple,Apple_scab,9f85c373d25a146941ef4f36ed150423,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/3523d2d8-0da9-4b83-b09d-21bd96860a3d___FREC_Scab 3499.JPG,Apple___Apple_scab,Apple,Apple_scab,50739a6dcd01b9cfcaefb5bbc3213a5b,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/352a5659-3552-4e94-8333-c3715d38cc27___FREC_Scab 3049.JPG,Apple___Apple_scab,Apple,Apple_scab,5c8d4723fb3c2921bc632c51fb282a14,256,256,PlantVillage,False
external/plantvillage/Apple___Apple_scab/3636b2d7-b888-437b-b4e3-a8af4bb62763___FREC_Scab 3148.JPG,Apple___Apple_scab,Apple,Apple_scab,16b49fc6145c4a8efc87add0a7b8f6ec,256,256,PlantVillage,False
