PlantVillage Bulk Download
Started: 2026-09-15 13:59:32
Selected classes: 19
Max per class: 800

Plan:
  Tomato___Bacterial_spot: 800
  Tomato___Early_blight: 800
  Tomato___Late_blight: 800
  Tomato___Leaf_Mold: 800
  Tomato___Septoria_leaf_spot: 800
  Tomato___Spider_mites Two-spotted_spider_mite: 800
  Tomato___Target_Spot: 800
  Tomato___Tomato_Yellow_Leaf_Curl_Virus: 800
  Tomato___Tomato_mosaic_virus: 373
  Tomato___healthy: 800
  Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot: 513
  Corn_(maize)___Common_rust_: 800
  Corn_(maize)___Northern_Leaf_Blight: 800
  Corn_(maize)___healthy: 800
  Potato___Early_blight: 800
  Potato___Late_blight: 800
  Potato___healthy: 152
  Pepper,_bell___Bacterial_spot: 800
  Pepper,_bell___healthy: 800

Total planned: 13838
Already downloaded: 0/13838
Remaining to download: 13838
[50/13838] Done=50 Failed=0 Rate=5.6/s ETA=2450s
[100/13838] Done=100 Failed=0 Rate=6.3/s ETA=2193s
[150/13838] Done=150 Failed=0 Rate=6.3/s ETA=2164s
[200/13838] Done=200 Failed=0 Rate=6.5/s ETA=2104s
[250/13838] Done=250 Failed=0 Rate=6.5/s ETA=2075s
[300/13838] Done=300 Failed=0 Rate=6.6/s ETA=2056s
[350/13838] Done=350 Failed=0 Rate=6.6/s ETA=2054s
[400/13838] Done=400 Failed=0 Rate=6.5/s ETA=2065s
[450/13838] Done=450 Failed=0 Rate=6.5/s ETA=2054s
[500/13838] Done=500 Failed=0 Rate=6.5/s ETA=2060s
[550/13838] Done=550 Failed=0 Rate=6.5/s ETA=2052s
[600/13838] Done=600 Failed=0 Rate=6.4/s ETA=2055s
[650/13838] Done=650 Failed=0 Rate=6.4/s ETA=2050s
[700/13838] Done=700 Failed=0 Rate=6.4/s ETA=2049s
[750/13838] Done=750 Failed=0 Rate=6.5/s ETA=2027s
[800/13838] Done=800 Failed=0 Rate=6.5/s ETA=2000s
[850/13838] Done=850 Failed=0 Rate=6.6/s ETA=1974s
[900/13838] Done=900 Failed=0 Rate=6.6/s ETA=1954s
[950/13838] Done=950 Failed=0 Rate=6.7/s ETA=1932s
[1000/13838] Done=1000 Failed=0 Rate=6.7/s ETA=1914s
[1050/13838] Done=1050 Failed=0 Rate=6.7/s ETA=1895s
[1100/13838] Done=1100 Failed=0 Rate=6.8/s ETA=1876s
[1150/13838] Done=1150 Failed=0 Rate=6.8/s ETA=1860s
[1200/13838] Done=1200 Failed=0 Rate=6.9/s ETA=1842s
[1250/13838] Done=1250 Failed=0 Rate=6.7/s ETA=1868s
[1300/13838] Done=1300 Failed=0 Rate=6.7/s ETA=1862s
[1350/13838] Done=1350 Failed=0 Rate=6.7/s ETA=1859s
[1400/13838] Done=1400 Failed=0 Rate=6.7/s ETA=1857s
[1450/13838] Done=1450 Failed=0 Rate=6.7/s ETA=1854s
[1500/13838] Done=1500 Failed=0 Rate=6.7/s ETA=1848s
[1550/13838] Done=1550 Failed=0 Rate=6.7/s ETA=1844s
[1600/13838] Done=1556 Failed=44 Rate=6.8/s ETA=1808s
[1650/13838] Done=1556 Failed=94 Rate=6.9/s ETA=1769s
[1700/13838] Done=1556 Failed=144 Rate=7.0/s ETA=1732s
[1750/13838] Done=1556 Failed=194 Rate=7.1/s ETA=1697s
[1800/13838] Done=1556 Failed=244 Rate=7.2/s ETA=1663s
[1850/13838] Done=1556 Failed=294 Rate=7.4/s ETA=1630s
[1900/13838] Done=1556 Failed=344 Rate=7.5/s ETA=1598s
[1950/13838] Done=1556 Failed=394 Rate=7.6/s ETA=1567s
[2000/13838] Done=1556 Failed=444 Rate=7.7/s ETA=1538s
[2050/13838] Done=1556 Failed=494 Rate=7.8/s ETA=1510s
[2100/13838] Done=1556 Failed=544 Rate=7.9/s ETA=1483s
[2150/13838] Done=1556 Failed=594 Rate=8.0/s ETA=1457s
[2200/13838] Done=1556 Failed=644 Rate=8.1/s ETA=1433s
[2250/13838] Done=1556 Failed=694 Rate=8.2/s ETA=1409s
[2300/13838] Done=1556 Failed=744 Rate=8.3/s ETA=1386s
[2350/13838] Done=1556 Failed=794 Rate=8.4/s ETA=1364s
[2400/13838] Done=1556 Failed=844 Rate=8.5/s ETA=1342s
[2450/13838] Done=1556 Failed=894 Rate=8.6/s ETA=1322s
[2500/13838] Done=1556 Failed=944 Rate=8.7/s ETA=1303s
[2550/13838] Done=1556 Failed=994 Rate=8.8/s ETA=1284s
[2600/13838] Done=1556 Failed=1044 Rate=8.9/s ETA=1265s
[2650/13838] Done=1556 Failed=1094 Rate=9.0/s ETA=1247s
[2700/13838] Done=1556 Failed=1144 Rate=9.1/s ETA=1230s
[2750/13838] Done=1556 Failed=1194 Rate=9.1/s ETA=1213s
[2800/13838] Done=1556 Failed=1244 Rate=9.2/s ETA=1197s
[2850/13838] Done=1556 Failed=1294 Rate=9.3/s ETA=1182s
[2900/13838] Done=1556 Failed=1344 Rate=9.4/s ETA=1166s
[2950/13838] Done=1594 Failed=1356 Rate=9.4/s ETA=1162s
[3000/13838] Done=1644 Failed=1356 Rate=9.3/s ETA=1161s
[3050/13838] Done=1694 Failed=1356 Rate=9.3/s ETA=1164s
[3100/13838] Done=1744 Failed=1356 Rate=9.2/s ETA=1167s
[3150/13838] Done=1794 Failed=1356 Rate=9.1/s ETA=1170s
[3200/13838] Done=1844 Failed=1356 Rate=9.1/s ETA=1172s
[3250/13838] Done=1894 Failed=1356 Rate=9.0/s ETA=1174s
[3300/13838] Done=1944 Failed=1356 Rate=9.0/s ETA=1176s
[3350/13838] Done=1994 Failed=1356 Rate=8.9/s ETA=1178s
[3400/13838] Done=2044 Failed=1356 Rate=8.9/s ETA=1178s
[3450/13838] Done=2094 Failed=1356 Rate=8.8/s ETA=1177s
[3500/13838] Done=2144 Failed=1356 Rate=8.8/s ETA=1174s
[3550/13838] Done=2194 Failed=1356 Rate=8.8/s ETA=1170s
[3600/13838] Done=2244 Failed=1356 Rate=8.8/s ETA=1167s
[3650/13838] Done=2294 Failed=1356 Rate=8.8/s ETA=1163s
[3700/13838] Done=2344 Failed=1356 Rate=8.7/s ETA=1159s
[3750/13838] Done=2394 Failed=1356 Rate=8.7/s ETA=1158s
[3800/13838] Done=2444 Failed=1356 Rate=8.7/s ETA=1154s
[3850/13838] Done=2494 Failed=1356 Rate=8.7/s ETA=1150s
[3900/13838] Done=2544 Failed=1356 Rate=8.7/s ETA=1146s
[3950/13838] Done=2594 Failed=1356 Rate=8.6/s ETA=1149s
[4000/13838] Done=2644 Failed=1356 Rate=8.6/s ETA=1148s
[4050/13838] Done=2694 Failed=1356 Rate=8.5/s ETA=1147s
[4100/13838] Done=2744 Failed=1356 Rate=8.5/s ETA=1147s
[4150/13838] Done=2794 Failed=1356 Rate=8.5/s ETA=1145s
[4200/13838] Done=2844 Failed=1356 Rate=8.4/s ETA=1144s
[4250/13838] Done=2894 Failed=1356 Rate=8.4/s ETA=1143s
[4300/13838] Done=2944 Failed=1356 Rate=8.4/s ETA=1141s
[4350/13838] Done=2994 Failed=1356 Rate=8.3/s ETA=1139s
[4400/13838] Done=3044 Failed=1356 Rate=8.3/s ETA=1137s
[4450/13838] Done=3054 Failed=1396 Rate=8.3/s ETA=1127s
[4500/13838] Done=3054 Failed=1446 Rate=8.4/s ETA=1115s
[4550/13838] Done=3054 Failed=1496 Rate=8.4/s ETA=1103s
[4600/13838] Done=3054 Failed=1546 Rate=8.5/s ETA=1092s
[4650/13838] Done=3054 Failed=1596 Rate=8.5/s ETA=1080s
[4700/13838] Done=3054 Failed=1646 Rate=8.5/s ETA=1069s
[4750/13838] Done=3054 Failed=1696 Rate=8.6/s ETA=1058s
[4800/13838] Done=3054 Failed=1746 Rate=8.6/s ETA=1047s
[4850/13838] Done=3054 Failed=1796 Rate=8.7/s ETA=1036s
[4900/13838] Done=3054 Failed=1846 Rate=8.7/s ETA=1026s
[4950/13838] Done=3054 Failed=1896 Rate=8.8/s ETA=1015s
[5000/13838] Done=3054 Failed=1946 Rate=8.8/s ETA=1005s
[5050/13838] Done=3054 Failed=1996 Rate=8.8/s ETA=995s
[5100/13838] Done=3054 Failed=2046 Rate=8.9/s ETA=985s
[5150/13838] Done=3054 Failed=2096 Rate=8.9/s ETA=975s
[5200/13838] Done=3054 Failed=2146 Rate=8.9/s ETA=965s
[5250/13838] Done=3054 Failed=2196 Rate=9.0/s ETA=956s
[5300/13838] Done=3054 Failed=2246 Rate=9.0/s ETA=946s
[5350/13838] Done=3054 Failed=2296 Rate=9.1/s ETA=937s
[5400/13838] Done=3054 Failed=2346 Rate=9.1/s ETA=928s
[5450/13838] Done=3054 Failed=2396 Rate=9.1/s ETA=918s
[5500/13838] Done=3054 Failed=2446 Rate=9.2/s ETA=909s
[5550/13838] Done=3054 Failed=2496 Rate=9.2/s ETA=900s
[5600/13838] Done=3054 Failed=2546 Rate=9.2/s ETA=891s
[5650/13838] Done=3054 Failed=2596 Rate=9.3/s ETA=883s
[5700/13838] Done=3091 Failed=2609 Rate=9.3/s ETA=879s
[5750/13838] Done=3141 Failed=2609 Rate=9.2/s ETA=876s
[5800/13838] Done=3191 Failed=2609 Rate=9.2/s ETA=873s
[5850/13838] Done=3241 Failed=2609 Rate=9.2/s ETA=870s
